enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0.0000
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,24,0.0000
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0.0000
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0000
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Early Stage Startup,2,206,0.0000
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,,1,10000+,Other,1,152,0.0000
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0000
8612,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,12,,,4,50,0.0000
24659,city_71,0.884,Male,No relevent experience,no_enrollment,,,3,,,never,106,0.0000
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0000
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,4,Oct-49,Pvt Ltd,2,36,0.0000
31654,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0000
13643,city_64,0.666,,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0.0000
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0000
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,,,never,26,1.0000
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0000
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0000
4476,city_101,0.558,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,20,1.0000
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Oct-49,Pvt Ltd,1,21,0.0000
5568,city_101,0.558,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,1.0000
2195,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0000
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0000
28512,city_104,0.924,,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0000
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,0.0000
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0000
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0000
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19,0.0000
13478,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,Funded Startup,,32,1.0000
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0000
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,90,0.0000
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0000
24690,city_41,0.827,,Has relevent experience,,Masters,STEM,13,<10,,1,15,0.0000
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0000
9572,city_11,0.55,,No relevent experience,Full time course,High School,,3,,,,98,0.0000
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0000
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0000
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,0.0000
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0000
4830,city_90,0.698,,No relevent experience,,,,2,,Pvt Ltd,never,228,1.0000
20970,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,22,0.0000
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,18,1.0000
12731,city_13,0.827,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Oct-49,Pvt Ltd,1,29,0.0000
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,1,46,0.0000
29117,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,12,0.0000
3686,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0000
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0000
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0000
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0000
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0000
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0000
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0000
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,136,0.0000
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,,1,27,0.0000
5902,city_20,0.796,,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0000
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Oct-49,Early Stage Startup,1,86,0.0000
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,Oct-49,Pvt Ltd,2,83,0.0000
28751,city_103,0.92,,No relevent experience,Full time course,High School,,4,,,3,75,0.0000
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42,0.0000
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,332,0.0000
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,,,,140,0.0000
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3,,,never,182,0.0000
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0000
10497,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,Pvt Ltd,2,172,1.0000
18099,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0000
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0000
7364,city_160,0.92,,No relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,142,0.0000
11184,city_74,0.579,,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0000
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0000
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Oct-49,Pvt Ltd,2,27,1.0000
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0000
14672,city_173,0.878,,No relevent experience,no_enrollment,Masters,STEM,>20,,,1,150,0.0000
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0000
24493,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,,1,140,0.0000
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0000
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0000
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0000
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0000
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0000
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,46,0.0000
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0000
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0000
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,160,1.0000
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,NGO,2,101,0.0000
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,1,46,0.0000
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0000
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0000
21199,city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0000
18819,city_50,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0000
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0000
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0000
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0000
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0000
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0000
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,45,0.0000
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,Oct-49,Pvt Ltd,2,109,0.0000
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0000
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0.0000
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0000
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0000
3921,city_36,0.893,,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0.0000
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0000
1924,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0.0000
32776,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,4,290,0.0000
1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,,2,<10,NGO,never,145,0.0000
23947,city_103,0.92,,No relevent experience,no_enrollment,Phd,STEM,,,,,70,0.0000
3116,city_21,0.624,Male,No relevent experience,no_enrollment,,,3,,,1,24,0.0000
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0000
30488,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,2,,,1,20,0.0000
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0000
22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,,,4,21,1.0000
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0000
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0.0000
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,156,0.0000
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0.0000
7777,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,120,0.0000
22718,city_157,0.769,,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,,>4,47,0.0000
1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,100,1.0000
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0.0000
4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,never,52,0.0000
18998,city_114,0.926,,Has relevent experience,no_enrollment,High School,,9,Oct-49,,4,39,0.0000
2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,,4,,,1,112,1.0000
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0.0000
8241,city_16,0.91,,Has relevent experience,no_enrollment,,,11,,,1,4,0.0000
12154,city_16,0.91,,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0.0000
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1.0000
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,72,0.0000
28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0000
4656,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,6,,Pvt Ltd,never,28,0.0000
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0.0000
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0.0000
13333,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,never,326,0.0000
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0.0000
12381,city_102,0.804,,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0.0000
4064,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,18,,,1,198,1.0000
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0.0000
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0.0000
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0.0000
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0.0000
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1.0000
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0.0000
12384,city_70,0.698,,Has relevent experience,,,,>20,,,>4,33,0.0000
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0.0000
31033,city_16,0.91,,No relevent experience,Full time course,High School,,3,,,1,8,0.0000
14835,city_173,0.878,Female,Has relevent experience,Part time course,High School,,2,100-500,NGO,1,22,0.0000
3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0.0000
3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0.0000
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Oct-49,Pvt Ltd,1,22,0.0000
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0.0000
12297,city_175,0.776,,Has relevent experience,Full time course,Graduate,STEM,4,Oct-49,Funded Startup,1,11,0.0000
27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,24,1.0000
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0.0000
29226,city_104,0.924,Male,No relevent experience,Full time course,High School,,6,,,never,15,0.0000
5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Oct-49,Pvt Ltd,>4,31,0.0000
2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0.0000
32509,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0.0000
31841,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,>4,105,1.0000
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0.0000
29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Oct-49,Pvt Ltd,>4,42,1.0000
10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0.0000
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0.0000
26163,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,,,never,8,0.0000
4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,,,3,17,1.0000
7335,city_83,0.923,Male,No relevent experience,no_enrollment,High School,,1,,,1,33,0.0000
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0.0000
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0.0000
32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0.0000
27104,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,,>20,,,never,87,0.0000
7731,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,never,84,0.0000
31943,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0.0000
22899,city_100,0.887,,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0000
33339,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0.0000
20866,city_59,0.775,,Has relevent experience,no_enrollment,Graduate,STEM,7,Oct-49,Pvt Ltd,1,12,0.0000
21634,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0.0000
29529,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1.0000
4478,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,,7,1.0000
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0.0000
18272,city_160,0.92,,Has relevent experience,Full time course,Graduate,Business Degree,>20,,,>4,90,1.0000
30098,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0.0000
23825,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,102,0.0000
7672,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,<1,Oct-49,Pvt Ltd,1,202,1.0000
5633,city_145,0.555,,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22,0.0000
30695,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42,0.0000
5573,city_160,0.92,,No relevent experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,50,0.0000
24936,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0.0000
397,city_73,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0.0000
31602,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0.0000
5278,city_21,0.624,Male,No relevent experience,no_enrollment,,,3,,Pvt Ltd,never,218,0.0000
16814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0.0000
19249,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0.0000
9475,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0.0000
4865,city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,,>4,10,0.0000
20881,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0.0000
21563,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,0.0000
25114,city_102,0.804,,No relevent experience,,Masters,STEM,6,Oct-49,Pvt Ltd,1,17,0.0000
26002,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,80,1.0000
8528,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0.0000
6141,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45,0.0000
27667,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,77,0.0000
2821,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8,0.0000
21216,city_173,0.878,,No relevent experience,no_enrollment,Graduate,STEM,5,,,1,28,0.0000
25495,city_142,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,37,0.0000
20791,city_16,0.91,,No relevent experience,Full time course,Graduate,STEM,2,,,2,108,1.0000
28015,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0.0000
10685,city_73,0.754,,Has relevent experience,Full time course,High School,,9,,,>4,41,0.0000
405,city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,4,0.0000
13891,city_71,0.884,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,0.0000
33050,city_165,0.903,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12,0.0000
399,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,0.0000
8202,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,1.0000
8751,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,11,0.0000
20744,city_103,0.92,Male,No relevent experience,Full time course,High School,,3,10000+,Pvt Ltd,1,30,0.0000
25380,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,,>4,39,0.0000
24617,city_102,0.804,Male,Has relevent experience,Full time course,High School,,9,,,1,16,0.0000
